fips,countyName,date,cases,deaths,cases7dayavg,deaths7dayavg,casesper100K,deathsper100K
01001,Autauga,2021-08-29,8657,118,49.4285714285714,0.428571428571429,88.4722680351741,0.767100589900354
01003,Baldwin,2021-08-29,32671,381,213.571428571429,2.42857142857143,95.6715502886785,1.08790391632611
01005,Barbour,2021-08-29,3020,65,21.1428571428571,0,85.6471568616104,0
01007,Bibb,2021-08-29,3426,71,19.5714285714286,0.285714285714286,87.3958585845699,1.27585195013971
01009,Blount,2021-08-29,8512,144,52.4285714285714,0.285714285714286,90.666086930743,0.49409311678879
01011,Bullock,2021-08-29,1376,41,4.85714285714286,0,48.0857623714767,0
01013,Butler,2021-08-29,2782,74,15,0.285714285714286,77.1287535993418,1.46911911617794
01015,Calhoun,2021-08-29,17616,351,105.571428571429,0.142857142857143,92.9285054103504,0.125748992436198
01017,Chambers,2021-08-29,4642,127,22,0.142857142857143,66.1574547422866,0.4295938619629
01019,Cherokee,2021-08-29,2400,49,17.8571428571429,0,68.167441048797,0
01021,Chilton,2021-08-29,5560,120,34,0.142857142857143,76.5283154767264,0.321547544019859
01023,Choctaw,2021-08-29,680,25,1.85714285714286,0,14.7521078492562,0
01025,Clarke,2021-08-29,4152,68,16.4285714285714,0.428571428571429,69.5477581431353,1.8142893428644
01027,Clay,2021-08-29,1962,60,17.8571428571429,0,134.923633223595,0
01029,Cleburne,2021-08-29,1848,46,11.5714285714286,0,77.6085081920092,0
01031,Coffee,2021-08-29,7887,145,42.2857142857143,0.285714285714286,80.7873491378134,0.545860467147388
01033,Colbert,2021-08-29,7614,152,33.4285714285714,0.857142857142857,60.5140591744744,1.55164254293524
01035,Conecuh,2021-08-29,1533,35,13.1428571428571,0.142857142857143,108.91569688288,1.18386627046609
01037,Coosa,2021-08-29,1390,31,8.14285714285714,0,76.365536367412,0
01039,Covington,2021-08-29,5651,142,22.8571428571429,0.571428571428571,61.6943584365107,1.54235896091277
01041,Crenshaw,2021-08-29,2034,60,14.4285714285714,0.142857142857143,104.767437035808,1.03730135679017
01043,Cullman,2021-08-29,12277,218,74.4285714285714,0.428571428571429,88.850839734232,0.511617119390971
01045,Dale,2021-08-29,7381,135,57.1428571428571,1,116.210154443295,2.03367770275767
01047,Dallas,2021-08-29,4248,167,25.8571428571429,0,69.5159233711766,0
01049,DeKalb,2021-08-29,10782,208,51.5714285714286,0.285714285714286,72.1147603532624,0.39952775818982
01051,Elmore,2021-08-29,12746,234,62.2857142857143,0.428571428571429,76.6980436721475,0.52773883260652
01053,Escambia,2021-08-29,5652,89,25.4285714285714,0.571428571428571,69.414384376304,1.55987380620908
01055,Etowah,2021-08-29,16977,389,78.5714285714286,1,76.8289480301058,0.977822974928619
01057,Fayette,2021-08-29,2476,65,6.14285714285714,0,37.6816166289851,0
01059,Franklin,2021-08-29,5191,89,25.5714285714286,0.428571428571429,81.5363451674911,1.36653092459482
01061,Geneva,2021-08-29,3630,89,22.2857142857143,0.142857142857143,84.8300951075874,0.543782660946073
01063,Greene,2021-08-29,1129,39,8.14285714285714,0,100.392764675837,0
01065,Hale,2021-08-29,2668,80,18.2857142857143,0,124.808642998528,0
01067,Henry,2021-08-29,2605,45,12.2857142857143,0,71.4078133432972,0
01069,Houston,2021-08-29,14521,316,79.8571428571429,0.857142857142857,75.4208863235893,0.809526507945503
01071,Jackson,2021-08-29,8149,123,34.4285714285714,0.142857142857143,66.688434952488,0.276715497728166
01073,Jefferson,2021-08-29,99807,1647,597.571428571429,3.42857142857143,90.7373106051157,0.520606133043934
01075,Lamar,2021-08-29,1696,38,6.85714285714286,0,49.6714440937549,0
01077,Lauderdale,2021-08-29,11851,258,65.1428571428571,0,70.2507922471472,0
01079,Lawrence,2021-08-29,3709,100,22.7142857142857,0,68.9900550184841,0
01081,Lee,2021-08-29,19938,192,92.4285714285714,0,56.1732393118908,0
01083,Limestone,2021-08-29,12430,171,71.2857142857143,0.142857142857143,72.0676482694377,0.144424144828532
01085,Lowndes,2021-08-29,1589,55,6.85714285714286,0,70.5032167092624,0
01087,Macon,2021-08-29,1937,54,9.14285714285714,0,50.6024858471172,0
01089,Madison,2021-08-29,43453,552,313.285714285714,1.71428571428571,84.0113041749366,0.459706178795823
01091,Marengo,2021-08-29,2969,69,14.7142857142857,0.285714285714286,78.0060738709946,1.51468104603873
01093,Marion,2021-08-29,4057,110,25,0.285714285714286,84.1495843010536,0.961709534869183
01095,Marshall,2021-08-29,15411,248,110.428571428571,0.857142857142857,114.109752029028,0.8857160571464
01097,Mobile,2021-08-29,62959,1026,426.142857142857,8.57142857142857,103.129850957832,2.0743516786691
01099,Monroe,2021-08-29,2705,42,27,0,130.227174070323,0
01101,Montgomery,2021-08-29,29989,638,158.571428571429,0.571428571428571,70.0137883010114,0.252301939823464
01103,Morgan,2021-08-29,17211,296,108.571428571429,0.428571428571429,90.7188634358815,0.358100776720585
01105,Perry,2021-08-29,1239,28,7,0,78.4489521461392,0
01107,Pickens,2021-08-29,2755,63,12.5714285714286,0,63.0779155616085,0
01109,Pike,2021-08-29,3905,84,19.5714285714286,0.428571428571429,59.1031846694104,1.29423032122797
01111,Randolph,2021-08-29,2460,53,24.5714285714286,0,108.139374049065,0
